"Year","League","Attendance"
"2006","NFL","17.6"
"2007","NFL","17.6"
"2008","NFL","17.5"
"2009","NFL","17.3"
"2010","NFL","17.1"
"2011","NFL","17.2"
"2006","MLB","76.3"
"2007","MLB","79.6"
"2008","MLB","79.0"
"2009","MLB","73.6"
"2010","MLB","73.2"
"2011","MLB","73.7"
"2006","NBA","21.6"
"2007","NBA","21.8"
"2008","NBA","21.4"
"2009","NBA","21.5"
"2010","NBA","21.1"
"2011","NBA","21.3"
"2006","NHL","20.9"
"2007","NHL","20.9"
"2008","NHL","21.3"
"2009","NHL","21.5"
"2010","NHL","21.0"
"2011","NHL","21.1"
