"uniqueid","Year","League","Attendance","Revenue","Ratio"
"NFL2006",2006,"NFL",17.6,6539,371.53
"NHL2006",2006,"NHL",20.9,2267,108.47
"NBA2006",2006,"NBA",21.6,3367,155.88
"MLB2006",2006,"MLB",76.3,5111,66.99
"NFL2007",2007,"NFL",17.6,7090,402.84
"NHL2007",2007,"NHL",20.9,2436,116.56
"NBA2007",2007,"NBA",21.8,3573,163.9
"MLB2007",2007,"MLB",79.6,5489,68.96
"NFL2008",2008,"NFL",17.5,7575,432.86
"NHL2008",2008,"NHL",21.3,2747,128.97
"NBA2008",2008,"NBA",21.4,3768,176.07
"MLB2008",2008,"MLB",79,5819,73.66
"NFL2009",2009,"NFL",17.3,8016,463.35
"NBA2009",2009,"NBA",21.5,3786,176.09
"NHL2009",2009,"NHL",21.5,2819,131.12
"MLB2009",2009,"MLB",73.6,5898,80.14
"NFL2010",2010,"NFL",17.1,8345,488.01
"NHL2010",2010,"NHL",21,2929,139.48
"NBA2010",2010,"NBA",21.1,3805,180.33
"MLB2010",2010,"MLB",73.2,6137,83.84
"NFL2011",2011,"NFL",17.2,8867,515.52
"NHL2011",2011,"NHL",21.1,3090,146.45
"NBA2011",2011,"NBA",21.3,3960,185.92
"MLB2011",2011,"MLB",73.7,6464,87.71
