"Year","League","Attendance","Revenue"
2006,"MLB",76.3,5111
2006,"NBA",21.6,3367
2006,"NFL",17.6,6539
2006,"NHL",20.9,2267
2007,"MLB",79.6,5489
2007,"NBA",21.8,3573
2007,"NFL",17.6,7090
2007,"NHL",20.9,2436
2008,"MLB",79,5819
2008,"NBA",21.4,3768
2008,"NFL",17.5,7575
2008,"NHL",21.3,2747
2009,"MLB",73.6,5898
2009,"NBA",21.5,3786
2009,"NFL",17.3,8016
2009,"NHL",21.5,2819
2010,"MLB",73.2,6137
2010,"NBA",21.1,3805
2010,"NFL",17.1,8345
2010,"NHL",21,2929
2011,"MLB",73.7,6464
2011,"NBA",21.3,3960
2011,"NFL",17.2,8867
2011,"NHL",21.1,3090
